estimate	bias	sd	sdBoot	RMSE	coverage	widthCI	num.sim	truth
iptw_trueConf_bagging	2.03869350141632	0.0386935014163189	0.215280086395629	0.240777058221448	0.218517760420445	0.962	0.943846068228077	500	2
iptw_truePropen_standard	2.06100192349608	0.0610019234960836	0.351415784905645	0.305859296731616	0.356324714892626	0.926	1.19896844318793	500	2
iptw_truePropen_bagging	2.0820901325461	0.0820901325460967	0.319070756993394	0.302191496353958	0.329152435102395	0.934	1.18459066570751	500	2
iptw_allPot_standard	2.05963183117416	0.0596318311741609	0.407862714414241	0.498037673749055	0.411795149450449	0.986	1.9523076810963	500	2
iptw_allPot_bagging	2.06263858103189	0.0626385810318888	0.338411097776929	0.351015386629106	0.343826437014488	0.94	1.3759803155861	500	2
iptw_lassoOutcome_standard	2.03502895573412	0.0350289557341161	0.214193723730308	0.281527018220402	0.216827629979916	0.982	1.10358591142398	500	2
iptw_lassoOutcome_bagging	2.04692796456745	0.0469279645674511	0.200587609346949	0.22701113905203	0.205808532631476	0.962	0.889883665083958	500	2
iptw_lassoSep_standard	2.07061968944404	0.0706196894440382	0.380131196893239	0.473150973547886	0.386261398453115	0.984	1.85475181630772	500	2
iptw_lassoSep_bagging	2.07198305040826	0.0719830504082569	0.323058948227621	0.331886157394106	0.330665857638726	0.936	1.3009937369849	500	2
iptw_lassoStepwiseT_standard	2.03283866636956	0.032838666369558	0.186543886108826	0.219646479555035	0.189228439222609	0.96	0.861014199855738	500	2
iptw_lassoStepwiseT_bagging	2.04045776044515	0.0404577604451534	0.185015225152989	0.202829129938372	0.189206243690772	0.956	0.795090189358419	500	2
iptw_lassoStepwiseY_standard	2.03286405035722	0.0328640503572237	0.184327526339076	0.222505384670981	0.187052745230409	0.964	0.872221107910246	500	2
iptw_lassoStepwiseY_bagging	2.03640601223288	0.036406012232876	0.186351167633775	0.204906811041565	0.189691069610076	0.956	0.803234699282936	500	2
iptw_stepwise_standard	2.06565707532733	0.0656570753273255	0.376818568959227	0.459888435933926	0.382124457454888	0.988	1.80276266886099	500	2
iptw_stepwise_bagging	2.06796084231235	0.0679608423123465	0.319423158731808	0.32249724292692	0.326260276640202	0.94	1.26418919227353	500	2
iptw_allLasso_standard	2.03503950508538	0.0350395050853785	0.214197354055722	0.283823116655517	0.216832913525903	0.982	1.11258661728963	500	2
iptw_allLasso_bagging	2.04567796853159	0.045677968531592	0.201787474163208	0.228306731336723	0.206695972793091	0.962	0.894962386839952	500	2
