Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
0.495495495495495	0.194194194194194	0.994994994994995	1	0.011011011011011	0.017017017017017	0.0650650650650651	0.0640640640640641	0.022022022022022	0.018018018018018	0.185185185185185	0.0540540540540541	0.0700700700700701	0.00800800800800801	0.037037037037037	0.015015015015015	0.031031031031031	0.044044044044044	0.028028028028028	0.016016016016016
0.885	0.683	1	1	0.033	0.025	0.027	0.097	0.038	0.088	0.034	0.122	0.051	0.029	0.094	0.016	0.084	0.104	0.184	0.256
0.336	0.51	1	1	0.079	0.051	0.034	0.108	0.043	0.128	0.255	0.038	0.023	0.065	0.294	0.041	0.025	0.099	0.03	0.263
0.855	0.652	1	1	0.23	0.043	0.073	0.075	0.037	0.025	0.095	0.075	0.113	0.023	0.158	0.039	0.052	0.054	0.3	0.104
0.83	0.708	1	1	0.133	0.023	0.041	0.095	0.059	0.038	0.023	0.013	0.044	0.112	0.02	0.032	0.07	0.166	0.047	0.016
0.311	0.718	1	1	0.053	0.018	0.1	0.198	0.024	0.559	0.069	0.014	0.316	0.052	0.015	0.029	0.051	0.031	0.014	0.023
0.076	0.446	1	1	0.014	0.009	0.057	0.046	0.012	0.007	0.012	0.021	0.008	0.034	0.077	0.01	0.022	0.007	0.026	0.015
0.533	0.121	1	1	0.016	0.023	0.027	0.006	0.023	0.017	0.087	0.083	0.02	0.023	0.021	0.09	0.011	0.019	0.013	0.035
0.529	0.378	1	1	0.253	0.029	0.092	0.034	0.196	0.049	0.048	0.02	0.103	0.188	0.143	0.051	0.03	0.212	0.04	0.085
0.199	0.655	1	1	0.073	0.01	0.036	0.012	0.024	0.037	0.037	0.009	0.02	0.167	0.054	0.04	0.014	0.018	0.028	0.034
0.902	0.573	1	1	0.117	0.661	0.026	0.028	0.022	0.212	0.03	0.024	0.089	0.118	0.053	0.025	0.065	0.346	0.038	0.03
0.14	0.279	1	1	0.027	0.013	0.019	0.059	0.011	0.029	0.068	0.23	0.018	0.006	0.019	0.011	0.017	0.052	0.013	0.025
0.332	0.668	0.995	1	0.018	0.127	0.033	0.119	0.348	0.031	0.034	0.224	0.06	0.029	0.22	0.366	0.051	0.118	0.054	0.034
0.749	0.326	1	1	0.148	0.322	0.085	0.072	0.205	0.273	0.124	0.264	0.027	0.091	0.125	0.272	0.047	0.025	0.095	0.052
0.42	0.062	1	1	0.12	0.06	0.022	0.017	0.038	0.062	0.017	0.244	0.041	0.02	0.016	0.026	0.539	0.011	0.35	0.02
0.251	0.779	1	1	0.027	0.012	0.042	0.032	0.045	0.123	0.021	0.17	0.02	0.08	0.016	0.035	0.141	0.094	0.014	0.013
0.467	0.946	1	1	0.127	0.567	0.524	0.108	0.11	0.129	0.163	0.773	0.054	0.132	0.111	0.07	0.42	0.694	0.181	0.139
0.907	0.215	1	0.998	0.017	0.02	0.042	0.027	0.026	0.299	0.03	0.124	0.02	0.059	0.218	0.012	0.037	0.292	0.042	0.151
0.595	0.799	1	1	0.032	0.007	0.042	0.012	0.016	0.137	0.03	0.013	0.029	0.078	0.137	0.234	0.06	0.007	0.026	0.054
0.536	0.249	1	1	0.09	0.365	0.228	0.104	0.031	0.133	0.039	0.189	0.042	0.044	0.067	0.043	0.036	0.079	0.086	0.037
0.047	0.235	1	1	0.016	0.048	0.01	0.038	0.013	0.019	0.063	0.012	0.104	0.042	0.014	0.02	0.015	0.01	0.077	0.028
0.233	0.036	1	1	0.165	0.023	0.145	0.019	0.031	0.022	0.036	0.041	0.042	0.016	0.409	0.113	0.098	0.023	0.047	0.022
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
